|time_started|time_completed|folders
0|2018-05-11 18:13:24.261373|2018-05-11 18:14:10.044293|['acer_macrophyllum', 'betula_pendula', 'thuja_plicata', 'tilia_cordata', 'bad_images', 'cedrus_libani', 'pseudotsuga_menziesii', 'picea_sitchensis', 'betula_papyrifera', '.ipynb_checkpoints', 'platanus_acerifolia', 'alnus_rubra']
1|2018-05-18 19:16:21.762036|2018-05-18 19:20:54.404174|['acer_macrophyllum', 'betula_pendula', 'thuja_plicata', 'tilia_cordata', 'bad_images', 'cedrus_libani', 'pseudotsuga_menziesii', 'picea_sitchensis', 'betula_papyrifera', '.ipynb_checkpoints', 'platanus_acerifolia', 'alnus_rubra']
